 I enjoy learning mathematics,   I feel confident when solving math problems ,  Mathematics is useful in real life  ,  I get anxious during mathematics lessons  ,  I believe I can perform well in mathematics  ,  There are enough mathematics textbooks for all students  ,"  The school provides mathematical instruments (rulers, compasses, sets)  ",  Teachers use relevant teaching aids like charts and models  ,  Students have access to practice tests and past papers for mathematics  ,  Learning materials are updated to reflect the current syllabus  ,NAME OF THE SCHOOL.,SUB-COUNTY,COUNTY,GENDER
Strongly Agree,Agree,Strongly agree,Strongly Agree,Strongly disagree,Strongly Agree,Agree,Strongly Disagree,Neutral,Neutral,Kaudha_Mixed,Wagai,Siaya,Male
Agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Kaudha_Mixed,Wagai,Siaya,Male
Neutral,Strongly agree,Agree,Neutral,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Kaudha_Mixed,Wagai,Siaya,Female
,Neutral,Neutral,Strongly Disagree,,Agree,Agree,Agree,,Agree,Kaudha_Mixed,Wagai,Siaya,Female
Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Male
Agree,Neutral,Strongly agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
,Strongly disagree,Disagree,Strongly Agree,Strongly agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Kaudha_Mixed,Wagai,Siaya,Male
Strongly Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Agree,Kaudha_Mixed,Wagai,Siaya,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly agree,Budokomi_Mixed,Busia,Busia ,Male
Strongly Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly Agree,Disagree,Agree,Agree,Agree,Budokomi_Mixed,Busia,Busia,Male
Agree,Strongly agree,Strongly agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Nyalunya_Mixed,Wagai ,Siaya,Male
Disagree,Neutral,Disagree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Nyalunya_Mixed,Wagai,Siaya,Female
Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Nyalunya_Mixed,Wagai,Siaya,Male
Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Nyalunya_Mixed,Wagai ,Siaya,Male
Agree,Agree,Strongly agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly agree,Nyalunya_Mixed,Wagai ,Siaya,Male
Agree,Strongly disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Nyalunya_Mixed,Wagai ,Siaya,Male
Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Nyalunya_Mixed,Wagai ,Siaya,Male
Strongly Agree,Agree,Agree,Disagree,Strongly disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly agree,Nyalunya_Mixed,Wagai ,Siaya,Male
Disagree,Agree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly agree,Nyalunya_Mixed,Wagai ,Siaya,Male
Strongly Agree,Neutral,Strongly agree,Strongly Disagree,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Nyalunya_Mixed,Wagai ,Siaya,Male
Disagree,Disagree,Strongly agree,Strongly Agree,Strongly agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Nyalunya_Mixed,Wagai ,Siaya,Male
Agree,Strongly agree,Neutral,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Nyalunya_Mixed,Wagai,Siaya,Female
Neutral,Agree,Strongly agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly agree,Nyalunya_Mixed,Wagai,Siaya,Female
Disagree,Strongly agree,Agree,Agree,Strongly disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Nyalunya_Mixed,Wagai ,Siaya,Female
Agree,Agree,Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Nyalunya_Mixed,Wagai ,Siaya,Male
Strongly Disagree,Strongly disagree,Agree,Neutral,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly disagree,Nyalunya_Mixed,Wagai ,Siaya,Female
Strongly Agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly agree,Nyalunya_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Nyalunya_Mixed,Wagai ,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Nyalunya_Mixed,Wagai ,Siaya,Female
Disagree,Agree,Disagree,Agree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Nyalunya_Mixed,Wagai ,Siaya,Female
Disagree,Agree,Strongly agree,Strongly Disagree,Strongly disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Nyalunya_Mixed,Wagai ,Siaya,Female
