 I enjoy learning mathematics,   I feel confident when solving math problems ,  Mathematics is useful in real life  ,  I get anxious during mathematics lessons  ,  I believe I can perform well in mathematics  ,  There are enough mathematics textbooks for all students  ,"  The school provides mathematical instruments (rulers, compasses, sets)  ",  Teachers use relevant teaching aids like charts and models  ,  Students have access to practice tests and past papers for mathematics  ,  Learning materials are updated to reflect the current syllabus  ,NAME OF THE SCHOOL.,SUB-COUNTY,COUNTY,GENDER
Strongly Disagree,Disagree,Strongly agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Neutral,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Neutral,Agree,Disagree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Disagree,Neutral,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Strongly agree,Neutral,Strongly Agree,Strongly disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Strongly agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Neutral,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Strongly agree,Strongly disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Strongly agree,Strongly agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly agree,Malele_Mixed,Wagai,Siaya ,Male
Agree,Agree,Neutral,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Neutral,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Strongly Disagree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Disagree,Neutral,Strongly disagree,Neutral,Strongly agree,Strongly Disagree,Agree,Disagree,Agree,Strongly agree,Ojola_Mixed,Wagai,Siaya,Male
Agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Strongly agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly disagree,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Agree,Strongly agree,Strongly Agree,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly disagree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Strongly agree,Agree,Strongly Disagree,Strongly agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Agree,Strongly agree,Strongly Disagree,,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Malele_Mixed,Wagai ,Siaya ,Female
Disagree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Disagree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Neutral,Strongly agree,Neutral,Strongly agree,Neutral,Strongly Disagree,Disagree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Neutral,Agree,Neutral,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Strongly disagree,Agree,Neutral,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Neutral,Agree,Strongly agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Ojola_Mixed,Wagai ,Siaya ,Male
Strongly Disagree,Neutral,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Ojola_Mixed,Waga,Siaya ,Male
Neutral,Disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Neutral,Disagree,Strongly disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Neutral,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Neutral,Disagree,Strongly agree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Agree,Ojola_Mixed,Wagai ,Siaya,Female
Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Agree,Agree,Agree,Strongly agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Agree,Agree,Agree,Strongly agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Neutral,Strongly agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Agree,Neutral,Agree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Disagree,Disagree,Strongly disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Agree,Agree,Ojola_Mixed,Wagai ,Siaya ,Male
Agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly Disagree,Disagree,Neutral,Neutral,Ojola_Mixed,Wagai ,Siaya ,Male
Neutral,Neutral,Strongly agree,Disagree,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Agree,Neutral,Strongly agree,Disagree,Strongly agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Disagree,Agree,Strongly agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Disagree,Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Ojola_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Neutral,Agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Neutral,Strongly agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Agree,Strongly agree,Neutral,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Neutral,Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Neutral,Neutral,Agree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Neutral,Neutral,Agree,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Ojola_Mixed,Wagai ,Siaya ,Male
Neutral,Neutral,Neutral,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Ojola_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Agree,Neutral,Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Ojola_Mixed,Wagai ,Siaya ,Male
Neutral,Disagree,Agree,Agree,Strongly agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly Disagree,Disagree,Neutral,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Neutral,Agree,Strongly agree,Strongly Disagree,Strongly agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Neutral,Agree,Agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Agree,Agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Strongly Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Strongly agree,Agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Malele_Mixed,Wagai,Siaya ,Female
Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Neutral,Malele_Mixed,Wagai ,Siaya ,Female
Neutral,Agree,Agree,Agree,Strongly agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Agree,Agree,Strongly Agree,Strongly agree,Disagree,Disagree,Neutral,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Strongly agree,Strongly Agree,,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Ojola_Mixed,Wagai ,Siaya ,Male
Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Agree,Neutral,Disagree,Disagree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Ojola_Mixed,Wagai ,Siaya ,Male
Neutral,Agree,Strongly agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Neutral,Neutral,Agree,Neutral,Strongly agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Neutral,Agree,Strongly disagree,Neutral,Disagree,Strongly Disagree,Neutral,Agree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya,Female
Neutral,Disagree,Strongly agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly disagree,Ojola_Mixed,Wagai ,Siaya ,Female
Agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Neutral,Neutral,Neutral,Agree,Strongly agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Ojola_Mixed,Wagai ,Siaya ,Female
Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,Malele_Mixed,Wagai ,Siaya ,Female
Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Ojola_Mixed,Wagai,Siaya ,Female
Strongly Agree,Strongly agree,Agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Neutral,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Neutral,Strongly Disagree,Agree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Disagree,Strongly disagree,Strongly Agree,Strongly agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Strongly agree,Agree,Strongly Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Neutral,Agree,Strongly agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly disagree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Neutral,Neutral,Agree,Neutral,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Neutral,Neutral,Strongly agree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Ojola_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Neutral,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Agree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Agree,Disagree,Disagree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Disagree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly disagree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Agree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Neutral,Strongly agree,Disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Disagree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Neutral,Strongly agree,Agree,Strongly agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Neutral,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Agree,Strongly agree,Neutral,Strongly agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Ojola_Mixed,Wagai ,Siaya ,Female
Agree,Neutral,Agree,Neutral,Strongly agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Agree,Neutral,Strongly agree,Neutral,Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Agree,Strongly agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Neutral,Neutral,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Neutral,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Agree,Strongly agree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Disagree,Disagree,Strongly agree,Neutral,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Disagree,Disagree,Strongly agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Disagree,Strongly agree,Strongly Agree,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Neutral,Agree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Neutral,Disagree,Neutral,Strongly Agree,Strongly agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Neutral,Strongly agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Neutral,Agree,Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Agree,Neutral,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Lions_Mixed,Kisumu central ,Kisumu ,Female
Agree,Strongly agree,Strongly agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Lions_Mixed,Kisumu central ,Kisumu ,Male
Neutral,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Lions_Mixed,Kisumu central ,Kisumu ,Female
Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Disagree,Strongly Agree,Neutral,Agree,Lions_Mixed,Kisumu central ,Kisumu ,Male
Strongly Agree,Strongly agree,Agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Lions_Mixed,Kisumu central ,Kisumu ,Male
Agree,Agree,Agree,Agree,Strongly agree,Neutral,Strongly Agree,Disagree,Neutral,Neutral,Lions_Mixed,Kisumu central ,Kisumu ,Female
Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Lions_Mixed,Kisumu central ,Kisumu ,Female
Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Disagree,Neutral,Neutral,Lions_Mixed,Kisumu central ,Kisumu ,Male
Agree,Neutral,Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Neutral,Magunga_Mixed,Nyakach,Kisumu,Male
Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Strongly Disagree,Disagree,Agree,Agree,Magunga_Mixed,Nyakach,Kisumu,Male
Strongly Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Magunga_Mixed,Nyakach,Kisumu,Female
Agree,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Magunga_Mixed,Nyakach,Kisumu,Male
Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly Agree,Disagree,Neutral,Agree,Neutral,Magunga_Mixed,Nyakach,Kisumu,Female
Disagree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Magunga_Mixed,Nyakach,Kisumu,Female
