Name Of The School.,Sub-County,County,Gender,Attitude,Availability of learning materials
Ojola_Mixed,Wagai ,Siaya ,Male,3.0,2.2
Ojola_Mixed,Wagai ,Siaya ,Male,2.8,2.8
Ojola_Mixed,Wagai ,Siaya ,Male,4.2,3.0
Ojola_Mixed,Wagai ,Siaya ,Male,3.2,2.2
Ojola_Mixed,Wagai ,Siaya ,Male,3.2,3.2
Ojola_Mixed,Wagai ,Siaya ,Male,4.6,3.4
Ojola_Mixed,Wagai ,Siaya ,Male,4.0,3.0
Ojola_Mixed,Wagai ,Siaya ,Female,4.4,2.8
Ojola_Mixed,Wagai ,Siaya ,Female,3.8,2.8
Ojola_Mixed,Wagai ,Siaya ,Female,3.6,3.2
Ojola_Mixed,Wagai ,Siaya ,Female,4.2,2.8
Malele_Mixed,Wagai ,Siaya ,Female,2.2,1.4
Malele_Mixed,Wagai ,Siaya ,Male,4.8,2.6
Malele_Mixed,Wagai,Siaya ,Female,4.8,2.6
Malele_Mixed,Wagai ,Siaya ,Female,4.6,2.6
Malele_Mixed,Wagai ,Siaya ,Female,4.6,3.4
Malele_Mixed,Wagai ,Siaya ,Female,4.4,3.4
Malele_Mixed,Wagai ,Siaya ,Female,4.8,4.2
Malele_Mixed,Wagai ,Siaya ,Female,4.4,2.2
Ojola_Mixed,Wagai ,Siaya ,Female,3.6,3.8
Ojola_Mixed,Wagai ,Siaya ,Female,3.4,3.4
Ojola_Mixed,Wagai ,Siaya ,Female,3.5,4.0
Ojola_Mixed,Wagai ,Siaya ,Male,3.8,3.8
Ojola_Mixed,Wagai ,Siaya ,Male,3.8,3.4
Ojola_Mixed,Wagai ,Siaya ,Male,3.6,3.2
Ojola_Mixed,Wagai ,Siaya ,Male,3.8,4.2
Ojola_Mixed,Wagai ,Siaya ,Male,3.6,3.8
Ojola_Mixed,Wagai ,Siaya,Female,2.6,3.4
Ojola_Mixed,Wagai ,Siaya ,Female,3.8,1.8
Ojola_Mixed,Wagai ,Siaya ,Female,4.0,3.4
Ojola_Mixed,Wagai ,Siaya ,Female,4.2,3.4
Ojola_Mixed,Wagai ,Siaya ,Male,3.4,3.8
Ojola_Mixed,Wagai ,Siaya ,Female,3.2,2.6
Malele_Mixed,Wagai ,Siaya ,Female,4.8,3.0
Ojola_Mixed,Wagai,Siaya ,Female,3.0,3.8
Malele_Mixed,Wagai ,Siaya ,Female,4.8,2.6
Malele_Mixed,Wagai ,Siaya ,Female,4.8,2.8
Malele_Mixed,Wagai ,Siaya ,Male,4.8,3.2
Malele_Mixed,Wagai ,Siaya ,Male,4.6,2.6
Malele_Mixed,Wagai ,Siaya ,Female,4.8,2.8
Malele_Mixed,Wagai ,Siaya ,Female,4.8,2.6
Malele_Mixed,Wagai ,Siaya ,Female,4.8,2.4
Malele_Mixed,Wagai ,Siaya ,Male,4.8,2.8
Malele_Mixed,Wagai ,Siaya ,Male,4.8,2.8
Malele_Mixed,Wagai ,Siaya ,Male,2.6,2.6
Malele_Mixed,Wagai ,Siaya ,Male,4.4,2.4
Malele_Mixed,Wagai ,Siaya ,Male,4.8,2.6
Malele_Mixed,Wagai ,Siaya ,Female,4.0,2.4
Malele_Mixed,Wagai ,Siaya ,Male,4.0,1.4
Malele_Mixed,Wagai ,Siaya ,Male,4.6,2.2
Ojola_Mixed,Wagai ,Siaya ,Female,3.4,3.4
